"filename", "language", "YAML", "Markdown", "CSV", "JSON", "C++", "CMake", "Properties", "Swift", "HTML", "XML", "Dart", "comment", "blank", "total"
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-01_11-44-56\details.md", "Markdown", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 109
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-01_11-44-56\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-01_11-44-56\diff.csv", "CSV", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-01_11-44-56\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-01_11-44-56\results.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 96
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\details.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\diff-details.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\diff.csv", "CSV", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\diff.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\results.csv", "CSV", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\.VSCodeCounter\2026-07-29_07-28-46\results.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\README.md", "Markdown", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 83
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\analysis_options.yaml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 32
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 9, 53
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 1, 23
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 1, 23
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 1, 23
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 1, 23
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 1, 45
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\ios\Runner\SceneDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 5, 22, 170
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\lib\models\cognitive_models.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 1, 14, 105
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\runner\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 26, 29, 149
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 5, 22
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 4, 37
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\pubspec.yaml", "YAML", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 70
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 23, 41, 143
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\macha\develop\kognisinn_workspace\kognisinn_free\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 66, 565, 136, 150, 591, 472, 7, 85, 79, 539, 233, 239, 508, 3670
